gfsCode,revStreamName,agencyName,companyName,year,payment,paymentUSD
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,OGCHL,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,OGCHL,2012,0,0
1421E,Service charges paid to local administration,Not available,OGCHL,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,OGCHL,2012,267352,198.04878771491855
1421E,Service fee for foreign experts and workers,Not available,OGCHL,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,OGCHL,2012,959793e3,710994.6441667345
1422E,1.3.1 Customs service fee,Customs Office,OGCHL,2012,0,0
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,OGCHL,2012,0,0
1422E,Stamp fee paid to local budget,Not available,OGCHL,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,OGCHL,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,OGCHL,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,OGCHL,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",OGCHL,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",OGCHL,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,OGCHL,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,OGCHL,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,OGCHL,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Peabody Winsway Resources,2012,1673e3,1239.3235204788396
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Peabody Winsway Resources,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Peabody Winsway Resources,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Peabody Winsway Resources,2012,16089e3,11918.395768669487
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Peabody Winsway Resources,2012,1095e3,811.153170905158
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Peabody Winsway Resources,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Peabody Winsway Resources,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Peabody Winsway Resources,2012,1075e3,796.3375878749268
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Peabody Winsway Resources,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Peabody Winsway Resources,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Peabody Winsway Resources,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Peabody Winsway Resources,2012,6e6,4444.674909069359
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Peabody Winsway Resources,2012,14971e3,11090.204677279562
1151E,1.1.2 Customs tax,Customs Office,Peabody Winsway Resources,2012,521e3,385.9459379375227
116E,1.6.4 Other (State Budget),Other,Peabody Winsway Resources,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Peabody Winsway Resources,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Peabody Winsway Resources,2012,26483e4,196180.54269480638
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Peabody Winsway Resources,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Peabody Winsway Resources,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Peabody Winsway Resources,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Peabody Winsway Resources,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Peabody Winsway Resources,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Peabody Winsway Resources,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Peabody Winsway Resources,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Peabody Winsway Resources,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Peabody Winsway Resources,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Peabody Winsway Resources,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Peabody Winsway Resources,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Peabody Winsway Resources,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Peabody Winsway Resources,2012,0,0
1421E,Service charges paid to local administration,Not available,Peabody Winsway Resources,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Peabody Winsway Resources,2012,11774885,8722.589319446193
1421E,Service fee for foreign experts and workers,Not available,Peabody Winsway Resources,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Peabody Winsway Resources,2012,486581e3,360449.0603216463
1422E,1.3.1 Customs service fee,Customs Office,Peabody Winsway Resources,2012,14e3,10.370908121161838
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Peabody Winsway Resources,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Peabody Winsway Resources,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Peabody Winsway Resources,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Peabody Winsway Resources,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Peabody Winsway Resources,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Peabody Winsway Resources,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Peabody Winsway Resources,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Peabody Winsway Resources,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Peabody Winsway Resources,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Peabody Winsway Resources,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Resevoir mongolia,2012,0,0
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Resevoir mongolia,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Resevoir mongolia,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Resevoir mongolia,2012,0,0
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Resevoir mongolia,2012,111065e3,82274.63646263139
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Resevoir mongolia,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Resevoir mongolia,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Resevoir mongolia,2012,0,0
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Resevoir mongolia,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Resevoir mongolia,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Resevoir mongolia,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Resevoir mongolia,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Resevoir mongolia,2012,3e5,222.23374545346795
1151E,1.1.2 Customs tax,Customs Office,Resevoir mongolia,2012,52888e3,39178.327765143375
116E,1.6.4 Other (State Budget),Other,Resevoir mongolia,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Resevoir mongolia,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Resevoir mongolia,2012,4746e3,3515.737853073863
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Resevoir mongolia,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Resevoir mongolia,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Resevoir mongolia,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Resevoir mongolia,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Resevoir mongolia,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Resevoir mongolia,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Resevoir mongolia,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Resevoir mongolia,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Resevoir mongolia,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Resevoir mongolia,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Resevoir mongolia,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Resevoir mongolia,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Resevoir mongolia,2012,0,0
1421E,Service charges paid to local administration,Not available,Resevoir mongolia,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Resevoir mongolia,2012,132140,97.88655708073752
1421E,Service fee for foreign experts and workers,Not available,Resevoir mongolia,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Resevoir mongolia,2012,3794e3,2810.5161008348578
1422E,1.3.1 Customs service fee,Customs Office,Resevoir mongolia,2012,515e3,381.5012630284533
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Resevoir mongolia,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Resevoir mongolia,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Resevoir mongolia,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Resevoir mongolia,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Resevoir mongolia,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Resevoir mongolia,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Resevoir mongolia,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Resevoir mongolia,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Resevoir mongolia,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Resevoir mongolia,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Reo,2012,3e4,22.223374545346793
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Reo,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Reo,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Reo,2012,19e5,1407.4803878719636
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Reo,2012,11974e3,8870.089560199418
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Reo,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Reo,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Reo,2012,15e5,1111.1687272673398
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Reo,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Reo,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Reo,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Reo,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Reo,2012,3713e3,2750.512989562422
1151E,1.1.2 Customs tax,Customs Office,Reo,2012,5702e3,4223.922721918914
116E,1.6.4 Other (State Budget),Other,Reo,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Reo,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Reo,2012,8088e4,59914.21777425496
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Reo,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Reo,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Reo,2012,102462e3,75901.71342217745
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Reo,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Reo,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Reo,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Reo,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Reo,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Reo,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Reo,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Reo,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Reo,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Reo,2012,0,0
1421E,Service charges paid to local administration,Not available,Reo,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Reo,2012,21e5,1555.6362181742757
1421E,Service fee for foreign experts and workers,Not available,Reo,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Reo,2012,50856e3,37673.064529271884
1422E,1.3.1 Customs service fee,Customs Office,Reo,2012,97e3,71.8555776966213
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Reo,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Reo,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Reo,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Reo,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Reo,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Reo,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Reo,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Reo,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Reo,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Reo,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Redhill Mongolia,2012,288e3,213.34439563532922
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Redhill Mongolia,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Redhill Mongolia,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Redhill Mongolia,2012,5732e3,4246.146096464261
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Redhill Mongolia,2012,0,0
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Redhill Mongolia,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Redhill Mongolia,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Redhill Mongolia,2012,0,0
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Redhill Mongolia,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Redhill Mongolia,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Redhill Mongolia,2012,89434e3,66250.84263628484
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Redhill Mongolia,2012,26e6,19260.257939300554
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Redhill Mongolia,2012,8563e3,6343.291874393487
1151E,1.1.2 Customs tax,Customs Office,Redhill Mongolia,2012,0,0
116E,1.6.4 Other (State Budget),Other,Redhill Mongolia,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Redhill Mongolia,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Redhill Mongolia,2012,334189e3,247560.24386449668
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Redhill Mongolia,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Redhill Mongolia,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Redhill Mongolia,2012,76295e3,56517.74536457445
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Redhill Mongolia,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Redhill Mongolia,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Redhill Mongolia,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Redhill Mongolia,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Redhill Mongolia,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Redhill Mongolia,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Redhill Mongolia,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Redhill Mongolia,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Redhill Mongolia,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Redhill Mongolia,2012,0,0
1421E,Service charges paid to local administration,Not available,Redhill Mongolia,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Redhill Mongolia,2012,2930200,2170.6310697591725
1421E,Service fee for foreign experts and workers,Not available,Redhill Mongolia,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Redhill Mongolia,2012,35442e3,26254.694687872703
1422E,1.3.1 Customs service fee,Customs Office,Redhill Mongolia,2012,3708e3,2746.809093804864
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Redhill Mongolia,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Redhill Mongolia,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Redhill Mongolia,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Redhill Mongolia,2012,15163e3,11232.434274369782
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Redhill Mongolia,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Redhill Mongolia,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Redhill Mongolia,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Redhill Mongolia,2012,18001e3,13334.765506359588
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Redhill Mongolia,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Redhill Mongolia,2012,3e6,2222.3374545346796
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Best resources,2012,13966e3,10345.721630010445
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Best resources,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Best resources,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Best resources,2012,0,0
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Best resources,2012,6203e3,4595.053076826205
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Best resources,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Best resources,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Best resources,2012,12e5,888.9349818138718
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Best resources,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Best resources,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Best resources,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Best resources,2012,45e4,333.35061818020193
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Best resources,2012,149e3,110.37609357522241
1151E,1.1.2 Customs tax,Customs Office,Best resources,2012,0,0
116E,1.6.4 Other (State Budget),Other,Best resources,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Best resources,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Best resources,2012,16697e3,12368.789492788514
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Best resources,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Best resources,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Best resources,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Best resources,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Best resources,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Best resources,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Best resources,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Best resources,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Best resources,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Best resources,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Best resources,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Best resources,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Best resources,2012,0,0
1421E,Service charges paid to local administration,Not available,Best resources,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Best resources,2012,9170155,6793.059640129488
1421E,Service fee for foreign experts and workers,Not available,Best resources,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Best resources,2012,115977e3,85913.34365485617
1422E,1.3.1 Customs service fee,Customs Office,Best resources,2012,0,0
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Best resources,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Best resources,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Best resources,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Best resources,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Best resources,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Best resources,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Best resources,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Best resources,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Best resources,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Best resources,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,South Gobi Black Gould,2012,31413e3,23270.09548643263
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",South Gobi Black Gould,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,South Gobi Black Gould,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,South Gobi Black Gould,2012,16e4,118.52466424184958
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,South Gobi Black Gould,2012,36036e3,26694.717503870568
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,South Gobi Black Gould,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,South Gobi Black Gould,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,South Gobi Black Gould,2012,32e3,23.704932848369914
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,South Gobi Black Gould,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,South Gobi Black Gould,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,South Gobi Black Gould,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",South Gobi Black Gould,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,South Gobi Black Gould,2012,0,0
1151E,1.1.2 Customs tax,Customs Office,South Gobi Black Gould,2012,0,0
116E,1.6.4 Other (State Budget),Other,South Gobi Black Gould,2012,0,0
116E,2.5.4 Other (Local Budget),Other,South Gobi Black Gould,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,South Gobi Black Gould,2012,3907e3,2894.224144955664
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,South Gobi Black Gould,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,South Gobi Black Gould,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,South Gobi Black Gould,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,South Gobi Black Gould,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,South Gobi Black Gould,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,South Gobi Black Gould,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,South Gobi Black Gould,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,South Gobi Black Gould,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,South Gobi Black Gould,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,South Gobi Black Gould,2012,0,0
